subject,session_id,true_start,true_hour,reported_session_start_time,reported_gap_minutes,n_units,n_tetrodes,session_duration_min,status
UT13,REM_Sleep_20230914,2023-09-14T17:56:45.033377-05:00,17.933333333333334,2023-09-14T22:51:06-05:00,132.95099763472874,239.0,31.0,161.39844608306885,included
UT13,REM_Sleep_20230914,2023-09-14T17:56:51.202872-05:00,17.933333333333334,2023-09-14T22:51:06-05:00,188.81915754874547,256.0,32.0,105.42746125062307,included
UT13,REM_Sleep_20230915,2023-09-15T16:58:27.797614-05:00,16.966666666666665,2023-09-15T19:38:24-05:00,26.39917608499527,278.0,32.0,133.53753034671146,included
UT13,REM_Sleep_20230915,2023-09-15T17:59:27.620763-05:00,17.983333333333334,2023-09-15T19:38:24-05:00,-32.92776133219401,279.0,32.0,131.86741528113683,included
UT13,Good_Run_20230916,2023-09-16T18:03:15.422103-05:00,18.05,2023-09-16T22:30:40-05:00,114.32185794909795,261.0,32.0,153.08777366876603,included
UT13,Good_Run_20230918,2023-09-18T17:27:00.808184-05:00,17.45,2023-09-18T22:00:02-05:00,89.19834936857224,248.0,30.0,183.82151423295338,included
UT13,REM_Sleep_20230919,2023-09-19T17:25:54.607199-05:00,17.416666666666668,2023-09-19T19:49:55-05:00,-14.175771649678548,258.0,28.0,158.18231833378474,included
UT13,REM_Sleep_20230919,2023-09-19T18:25:53.713158-05:00,18.416666666666668,2023-09-19T19:49:55-05:00,-36.72775743405024,238.0,29.0,120.74920480251312,included
UT13,Good_Run_20230920,2023-09-20T17:39:04.097621-05:00,17.65,2023-09-20T20:09:19-05:00,79.16411851644516,259.0,30.0,71.08425446748734,included
UT13,REM_Sleep_20230925,2023-09-25T16:52:24.627875-05:00,16.866666666666667,2023-09-25T20:07:34-05:00,92.71043003400167,244.0,29.0,102.44577204783758,included
UT13,REM_Sleep_20230925,2023-09-25T18:59:26.350579-05:00,18.983333333333334,2023-09-25T20:07:34-05:00,-61.41118626594543,226.0,29.0,129.53867661555608,included
UT13,Good_Run_20230926,2023-09-26T17:23:11.711530-05:00,17.383333333333333,2023-09-26T20:29:48-05:00,38.59708069960276,245.0,30.0,148.00772713422776,included
UT13,Good_Run_20230927,2023-09-27T17:29:21.669404-05:00,17.483333333333334,2023-09-27T21:05:19-05:00,130.25587819814683,258.0,30.0,85.69963173468908,included
UT13,Good_Run_20230927,2023-09-27T18:49:45.762011-05:00,18.816666666666666,2023-09-27T21:05:19-05:00,30.454508618513742,266.0,31.0,105.09945786396662,included
UT13,Good_Run_20230928,2023-09-28T17:13:57.089414-05:00,17.216666666666665,2023-09-28T20:58:44-05:00,77.93835011720657,236.0,29.0,146.84349298477173,included
