session_id,true_start,true_hour,reported_session_start_time,reported_gap_minutes,n_units,session_duration_min
Day3,2024-02-02T15:09:33.486821-06:00,15.15,2024-02-02T18:07:46-06:00,35.3894798318545,91,142.8190731525421
Day4,2024-02-03T20:37:21.933163-06:00,20.616666666666667,2024-02-04T02:08:02-06:00,202.471349132061,87,128.19643148581187
Day5,2024-02-04T16:25:06.869811-06:00,16.416666666666668,2024-02-04T15:30:09-06:00,-189.13560595115027,87,134.17110910018286
Day6,2024-02-05T15:30:05.102450-06:00,15.5,2024-02-05T12:54:27-06:00,-302.97514475186665,76,147.3401039203008
Day7,2024-02-06T14:28:46.417420-06:00,14.466666666666667,2024-02-06T18:40:48-06:00,103.52013411521912,99,148.50624221960703
Day8,2024-02-07T15:12:48.057786-06:00,15.2,2024-02-07T10:18:19-06:00,-444.50268520116805,85,150.01838876803717
Day9,2024-02-08T15:31:25.933476-06:00,15.516666666666667,2024-02-08T10:26:27-06:00,-455.3017061829567,92,150.31948158343633
Day10,2024-02-10T15:15:06.558491-06:00,15.25,2024-02-10T20:00:39-06:00,135.0129111846288,117,150.52778063217798
Day11,2024-02-11T14:53:19.324701-06:00,14.883333333333333,2024-02-11T12:31:48-06:00,-298.4421725988388,104,156.92009424765905
Day12,2024-02-12T14:52:10.586805-06:00,14.866666666666667,2024-02-12T10:54:47-06:00,-432.4580097516378,126,195.06489633321763
Day13,2024-02-13T16:04:24.039795-06:00,16.066666666666666,2024-02-13T21:56:53-06:00,192.86057064930597,126,159.62209943532943
Day14,2024-02-14T15:15:39.792396-06:00,15.25,2024-02-14T14:06:35-06:00,-237.81914259990057,112,168.73926933209103
Day15,2024-02-15T15:43:58.374260-06:00,15.716666666666667,2024-02-15T16:01:52-06:00,-121.26780610084533,103,139.16156843503316
Day16,2024-02-16T14:45:49.237362-06:00,14.75,2024-02-16T19:52:38-06:00,141.40850283304852,129,165.40420780181884
Day17,2024-02-17T15:39:34.776770-06:00,15.65,2024-02-17T16:22:16-06:00,-87.03042480150859,103,129.71747863292694
Day18,2024-02-18T15:07:00.395271-06:00,15.116666666666667,2024-02-18T13:05:32-06:00,-244.95541688203812,117,123.48216236432394
Day19,2024-02-19T15:33:43.120609-06:00,15.55,2024-02-19T12:09:30-06:00,-333.80584486722944,118,129.5871680498123
Day21,2024-02-21T16:11:37.855496-06:00,16.183333333333334,2024-02-21T11:16:06-06:00,-393.611831398805,118,98.08090646664301
Day22,2024-02-22T15:39:42.135627-06:00,15.65,2024-02-22T10:51:33-06:00,-358.28437300125756,136,70.13211255073547
