subject,session_i,session_j,zone_category,pv_corr,day_distance
UT14,Day3,Day4,reward,0.5563691363957695,1.0
UT14,Day3,Day5,reward,0.47763314952196134,2.0
UT14,Day3,Day6,reward,0.6530722413000484,3.0
UT14,Day3,Day7,reward,0.4912824631689116,4.0
UT14,Day3,Day8,reward,0.37561363372964796,5.0
UT14,Day3,Day9,reward,0.42999344242464066,6.0
UT14,Day3,Day10,reward,0.6183771778165843,8.0
UT14,Day3,Day11,reward,0.4156316963359673,9.0
UT14,Day3,Day12,reward,0.658120113509061,10.0
UT14,Day3,Day13,reward,0.7997924084697943,11.0
UT14,Day3,Day14,reward,0.610919849079909,12.0
UT14,Day3,Day15,reward,0.5422234681133161,13.0
UT14,Day3,Day16,reward,0.5530574735293888,14.0
UT14,Day3,Day17,reward,0.25280524651094166,15.0
UT14,Day3,Day18,reward,0.34550364987459337,16.0
UT14,Day3,Day19,reward,0.39776753867250275,17.0
UT14,Day3,Day21,reward,0.5991098185905364,19.0
UT14,Day3,Day22,reward,0.5714580539737971,20.0
UT14,Day4,Day5,reward,0.5884530125648769,1.0
UT14,Day4,Day6,reward,0.5100616245322896,2.0
UT14,Day4,Day7,reward,0.3638417784492972,3.0
UT14,Day4,Day8,reward,0.05337472848401249,4.0
UT14,Day4,Day9,reward,0.25110235968374245,5.0
UT14,Day4,Day10,reward,0.6361682209061273,7.0
UT14,Day4,Day11,reward,0.12992563158085438,8.0
UT14,Day4,Day12,reward,0.4434890520511826,9.0
UT14,Day4,Day13,reward,0.5805566093682911,10.0
UT14,Day4,Day14,reward,0.6587629496488199,11.0
UT14,Day4,Day15,reward,0.7635971632920712,12.0
UT14,Day4,Day16,reward,0.6002657436988798,13.0
UT14,Day4,Day17,reward,0.3224841812509205,14.0
UT14,Day4,Day18,reward,0.7211553951393619,15.0
UT14,Day4,Day19,reward,0.6527695486594884,16.0
UT14,Day4,Day21,reward,0.5962323606034197,18.0
UT14,Day4,Day22,reward,0.6140247131904049,19.0
UT14,Day5,Day6,reward,0.643888523489487,1.0
UT14,Day5,Day7,reward,0.518171026076662,2.0
UT14,Day5,Day8,reward,0.4487911645140252,3.0
UT14,Day5,Day9,reward,0.506114614589856,4.0
UT14,Day5,Day10,reward,0.705606449590107,6.0
UT14,Day5,Day11,reward,0.2758135494227164,7.0
UT14,Day5,Day12,reward,0.7005058097300678,8.0
UT14,Day5,Day13,reward,0.6472808844085493,9.0
UT14,Day5,Day14,reward,0.663951421557953,10.0
UT14,Day5,Day15,reward,0.5410998865660112,11.0
UT14,Day5,Day16,reward,0.5974892609539327,12.0
UT14,Day5,Day17,reward,0.1582752187804461,13.0
UT14,Day5,Day18,reward,0.34172091204279076,14.0
UT14,Day5,Day19,reward,0.3748298672708585,15.0
UT14,Day5,Day21,reward,0.5141012775984414,17.0
UT14,Day5,Day22,reward,0.4282162941998535,18.0
UT14,Day6,Day7,reward,0.8394700396425836,1.0
UT14,Day6,Day8,reward,0.40851044026439653,2.0
UT14,Day6,Day9,reward,0.5038874229967863,3.0
UT14,Day6,Day10,reward,0.8501387691971971,5.0
UT14,Day6,Day11,reward,0.7668179444097255,6.0
UT14,Day6,Day12,reward,0.712757837936064,7.0
UT14,Day6,Day13,reward,0.7411765719891347,8.0
UT14,Day6,Day14,reward,0.6309288253134205,9.0
UT14,Day6,Day15,reward,0.6198613489754423,10.0
UT14,Day6,Day16,reward,0.6004518810312369,11.0
UT14,Day6,Day17,reward,0.14679517144626728,12.0
UT14,Day6,Day18,reward,0.5286521969039277,13.0
UT14,Day6,Day19,reward,0.5007945165500034,14.0
UT14,Day6,Day21,reward,0.6830342896136262,16.0
UT14,Day6,Day22,reward,0.6952981996363047,17.0
UT14,Day7,Day8,reward,0.5625205827283639,1.0
UT14,Day7,Day9,reward,0.5203955606407473,2.0
UT14,Day7,Day10,reward,0.8298148421460467,4.0
UT14,Day7,Day11,reward,0.7013324907241992,5.0
UT14,Day7,Day12,reward,0.7272757480090959,6.0
UT14,Day7,Day13,reward,0.6580940262746601,7.0
UT14,Day7,Day14,reward,0.6441598175963796,8.0
UT14,Day7,Day15,reward,0.6062336303173406,9.0
UT14,Day7,Day16,reward,0.5568223755161801,10.0
UT14,Day7,Day17,reward,0.26065369773727237,11.0
UT14,Day7,Day18,reward,0.5080114879966434,12.0
UT14,Day7,Day19,reward,0.6116176019212671,13.0
UT14,Day7,Day21,reward,0.6430451693381377,15.0
UT14,Day7,Day22,reward,0.8136297450805606,16.0
UT14,Day8,Day9,reward,0.5461320549867358,1.0
UT14,Day8,Day10,reward,0.5879459532041287,3.0
UT14,Day8,Day11,reward,0.3604317720649785,4.0
UT14,Day8,Day12,reward,0.6689680714174998,5.0
UT14,Day8,Day13,reward,0.6330735099628557,6.0
UT14,Day8,Day14,reward,0.34957423814500543,7.0
UT14,Day8,Day15,reward,0.2865281907017117,8.0
UT14,Day8,Day16,reward,0.3718876065850111,9.0
UT14,Day8,Day17,reward,0.4841936873956533,10.0
UT14,Day8,Day18,reward,0.2068106337526859,11.0
UT14,Day8,Day19,reward,0.31627421035351877,12.0
UT14,Day8,Day21,reward,0.4467609800155989,14.0
UT14,Day8,Day22,reward,0.35338390796384905,15.0
UT14,Day9,Day10,reward,0.5737533502800938,2.0
UT14,Day9,Day11,reward,0.45496863363440626,3.0
UT14,Day9,Day12,reward,0.6695116791458814,4.0
UT14,Day9,Day13,reward,0.5415181187091679,5.0
UT14,Day9,Day14,reward,0.4410164972291396,6.0
UT14,Day9,Day15,reward,0.4712967795528291,7.0
UT14,Day9,Day16,reward,0.31872397619728754,8.0
UT14,Day9,Day17,reward,0.2292380641360177,9.0
UT14,Day9,Day18,reward,0.2960034604826685,10.0
UT14,Day9,Day19,reward,0.32955224941228656,11.0
UT14,Day9,Day21,reward,0.5600192887603769,13.0
UT14,Day9,Day22,reward,0.40721684632565897,14.0
UT14,Day10,Day11,reward,0.7680054746258663,1.0
UT14,Day10,Day12,reward,0.8839281963000777,2.0
UT14,Day10,Day13,reward,0.8574832195732957,3.0
UT14,Day10,Day14,reward,0.7428972970886205,4.0
UT14,Day10,Day15,reward,0.8050858330177154,5.0
UT14,Day10,Day16,reward,0.8031654506304107,6.0
UT14,Day10,Day17,reward,0.4995847370707953,7.0
UT14,Day10,Day18,reward,0.7216761026956836,8.0
UT14,Day10,Day19,reward,0.6918083830329304,9.0
UT14,Day10,Day21,reward,0.7475350500660147,11.0
UT14,Day10,Day22,reward,0.8053058380093732,12.0
UT14,Day11,Day12,reward,0.6009298943289698,1.0
UT14,Day11,Day13,reward,0.5947610688813341,2.0
UT14,Day11,Day14,reward,0.6393341862338479,3.0
UT14,Day11,Day15,reward,0.517865934211734,4.0
UT14,Day11,Day16,reward,0.5307706774917931,5.0
UT14,Day11,Day17,reward,0.36434723469460567,6.0
UT14,Day11,Day18,reward,0.5190992183978732,7.0
UT14,Day11,Day19,reward,0.5866685706416229,8.0
UT14,Day11,Day21,reward,0.5842975388940713,10.0
UT14,Day11,Day22,reward,0.554574530341919,11.0
UT14,Day12,Day13,reward,0.8557299807997426,1.0
UT14,Day12,Day14,reward,0.7201044117633129,2.0
UT14,Day12,Day15,reward,0.659252434703008,3.0
UT14,Day12,Day16,reward,0.7393240037831458,4.0
UT14,Day12,Day17,reward,0.6330693913401116,5.0
UT14,Day12,Day18,reward,0.6800913053713479,6.0
UT14,Day12,Day19,reward,0.7276967026639142,7.0
UT14,Day12,Day21,reward,0.6458260878874432,9.0
UT14,Day12,Day22,reward,0.7268497688348309,10.0
UT14,Day13,Day14,reward,0.7620185942483219,1.0
UT14,Day13,Day15,reward,0.6992432415433325,2.0
UT14,Day13,Day16,reward,0.8380229001131231,3.0
UT14,Day13,Day17,reward,0.6107080411830328,4.0
UT14,Day13,Day18,reward,0.7418470215917572,5.0
UT14,Day13,Day19,reward,0.7860367922772796,6.0
UT14,Day13,Day21,reward,0.7301781717995156,8.0
UT14,Day13,Day22,reward,0.6944770999502422,9.0
UT14,Day14,Day15,reward,0.7947151042234293,1.0
UT14,Day14,Day16,reward,0.838129387176201,2.0
UT14,Day14,Day17,reward,0.6420775680539119,3.0
UT14,Day14,Day18,reward,0.8679126099624359,4.0
UT14,Day14,Day19,reward,0.8745860058543287,5.0
UT14,Day14,Day21,reward,0.6354357638865132,7.0
UT14,Day14,Day22,reward,0.6373503192068537,8.0
UT14,Day15,Day16,reward,0.7996168761084841,1.0
UT14,Day15,Day17,reward,0.5419438367695957,2.0
UT14,Day15,Day18,reward,0.8071927496745579,3.0
UT14,Day15,Day19,reward,0.847689492324772,4.0
UT14,Day15,Day21,reward,0.6364023889729368,6.0
UT14,Day15,Day22,reward,0.7106749357881224,7.0
UT14,Day16,Day17,reward,0.6489236085375926,1.0
UT14,Day16,Day18,reward,0.8256339495780042,2.0
UT14,Day16,Day19,reward,0.8147938193267201,3.0
UT14,Day16,Day21,reward,0.47955089240074766,5.0
UT14,Day16,Day22,reward,0.6217408259648639,6.0
UT14,Day17,Day18,reward,0.8129166356811744,1.0
UT14,Day17,Day19,reward,0.730551412215332,2.0
UT14,Day17,Day21,reward,0.19686521438487364,4.0
UT14,Day17,Day22,reward,0.3276362154146894,5.0
UT14,Day18,Day19,reward,0.9157564422900796,1.0
UT14,Day18,Day21,reward,0.4659203533563253,3.0
UT14,Day18,Day22,reward,0.5038411604652359,4.0
UT14,Day19,Day21,reward,0.5319434487957754,2.0
UT14,Day19,Day22,reward,0.6860505732573173,3.0
UT14,Day21,Day22,reward,0.6470067151897451,1.0
UT14,Day3,Day4,choice,0.6115151038506487,1.0
UT14,Day3,Day5,choice,0.5350282667467698,2.0
UT14,Day3,Day6,choice,0.6840452486367048,3.0
UT14,Day3,Day7,choice,0.6094806208994111,4.0
UT14,Day3,Day8,choice,0.45730484761838697,5.0
UT14,Day3,Day9,choice,0.27712709179627915,6.0
UT14,Day3,Day10,choice,0.6012683445953811,8.0
UT14,Day3,Day11,choice,0.41131987696783173,9.0
UT14,Day3,Day12,choice,0.5793092657040729,10.0
UT14,Day3,Day13,choice,0.7768384887780131,11.0
UT14,Day3,Day14,choice,0.601240632212721,12.0
UT14,Day3,Day15,choice,0.4969191705659463,13.0
UT14,Day3,Day16,choice,0.491613924527595,14.0
UT14,Day3,Day17,choice,0.24554563813919386,15.0
UT14,Day3,Day18,choice,0.2680013747361672,16.0
UT14,Day3,Day19,choice,0.28964667714189823,17.0
UT14,Day3,Day21,choice,0.5433722976768148,19.0
UT14,Day3,Day22,choice,0.6596174136584927,20.0
UT14,Day4,Day5,choice,0.6163156587497526,1.0
UT14,Day4,Day6,choice,0.5350279725682352,2.0
UT14,Day4,Day7,choice,0.4434837056833066,3.0
UT14,Day4,Day8,choice,0.08074296951168908,4.0
UT14,Day4,Day9,choice,0.1497273240943747,5.0
UT14,Day4,Day10,choice,0.6392838332182451,7.0
UT14,Day4,Day11,choice,0.22993924935569987,8.0
UT14,Day4,Day12,choice,0.39027527301695486,9.0
UT14,Day4,Day13,choice,0.6035270708349233,10.0
UT14,Day4,Day14,choice,0.6688007859442887,11.0
UT14,Day4,Day15,choice,,12.0
UT14,Day4,Day16,choice,0.5107192005364697,13.0
UT14,Day4,Day17,choice,0.30904923987611566,14.0
UT14,Day4,Day18,choice,0.4402644030916497,15.0
UT14,Day4,Day19,choice,0.40417128308888717,16.0
UT14,Day4,Day21,choice,0.6283596523312296,18.0
UT14,Day4,Day22,choice,0.6437041157170517,19.0
UT14,Day5,Day6,choice,0.7518480902965239,1.0
UT14,Day5,Day7,choice,0.5436246640183441,2.0
UT14,Day5,Day8,choice,0.331941950970901,3.0
UT14,Day5,Day9,choice,0.2591447655592453,4.0
UT14,Day5,Day10,choice,0.7401978954063625,6.0
UT14,Day5,Day11,choice,,7.0
UT14,Day5,Day12,choice,0.6832589953998491,8.0
UT14,Day5,Day13,choice,0.664757373623279,9.0
UT14,Day5,Day14,choice,0.6673303940006277,10.0
UT14,Day5,Day15,choice,,11.0
UT14,Day5,Day16,choice,0.5866474551415539,12.0
UT14,Day5,Day17,choice,,13.0
UT14,Day5,Day18,choice,0.30668577708658046,14.0
UT14,Day5,Day19,choice,0.29944130664167884,15.0
UT14,Day5,Day21,choice,0.49858261715670105,17.0
UT14,Day5,Day22,choice,,18.0
UT14,Day6,Day7,choice,0.803810593964877,1.0
UT14,Day6,Day8,choice,0.4019924066767476,2.0
UT14,Day6,Day9,choice,0.3222228087138022,3.0
UT14,Day6,Day10,choice,0.821871570966601,5.0
UT14,Day6,Day11,choice,0.7472319434803633,6.0
UT14,Day6,Day12,choice,0.6682691204076722,7.0
UT14,Day6,Day13,choice,0.7399646470870402,8.0
UT14,Day6,Day14,choice,0.6098225237953323,9.0
UT14,Day6,Day15,choice,0.5166322693207236,10.0
UT14,Day6,Day16,choice,0.5203431684017613,11.0
UT14,Day6,Day17,choice,0.0665652461644406,12.0
UT14,Day6,Day18,choice,0.32373136775055433,13.0
UT14,Day6,Day19,choice,0.2760104170644287,14.0
UT14,Day6,Day21,choice,0.5648799998688719,16.0
UT14,Day6,Day22,choice,0.6838241114460895,17.0
UT14,Day7,Day8,choice,0.6391568138303135,1.0
UT14,Day7,Day9,choice,0.37277843746276845,2.0
UT14,Day7,Day10,choice,0.8071245680857928,4.0
UT14,Day7,Day11,choice,0.7003995774232846,5.0
UT14,Day7,Day12,choice,0.6495853654114171,6.0
UT14,Day7,Day13,choice,0.684907311888633,7.0
UT14,Day7,Day14,choice,0.6282698106278853,8.0
